borrower_id,age,gender,state,business_sector,years_in_business,monthly_income_ngn,pos_txn_count_monthly,pos_txn_volume_ngn_monthly,loan_amount_ngn,loan_tenor_months,interest_rate_monthly_pct,existing_loans_count,collateral_provided,has_bank_account,urban_rural,loan_channel,trade_association_member,mobile_money_active,sim_tenure_months,repayment_history_score,defaulted
BRW100104,56,Female,Rivers,Artisan/Repairs,1.4,132700,20,65900,305000,1,3.76,1,0,1,Urban,Cooperative (Esusu/Ajo),0,1,109,58.1,1
BRW100105,55,Male,Delta,Transport/Logistics,0.8,54500,6,19700,20000,1,11.61,0,0,1,Rural,Mobile App,0,0,33,43.7,1
BRW100106,55,Male,Edo,Transport/Logistics,0.7,61000,11,54000,40000,3,7.17,0,0,0,Urban,POS Agent,1,0,37,25.3,0
BRW100107,49,Female,Abuja (FCT),Services (Salon/Barbing etc.),3.8,40900,46,49600,77000,3,3.3,2,0,1,Urban,Mobile App,0,1,78,77.6,0
BRW100108,40,Female,Enugu,Electronics/Phone Accessories,4.5,52900,70,407100,98000,12,3.77,0,0,1,Urban,POS Agent,0,1,23,62.3,0
BRW100109,51,Male,Abuja (FCT),Food & Provisions,1.9,56900,26,46500,71000,6,6.61,1,0,0,Urban,Mobile App,0,0,23,95.1,0
BRW100110,31,Male,Delta,Services (Salon/Barbing etc.),3.6,64300,43,222400,100000,1,11.69,1,0,1,Urban,POS Agent,1,1,61,76.7,1
BRW100111,55,Male,Oyo,Food & Provisions,6.6,57700,88,262000,143000,3,7.66,0,1,0,Rural,Mobile App,1,0,16,56.1,0
BRW100112,44,Male,Anambra,Agriculture,2.7,20900,53,303500,26000,2,11.38,0,0,0,Rural,Mobile App,0,0,33,71.5,0
BRW100113,40,Female,Osun,Transport/Logistics,2.5,113600,39,177500,176000,9,3.28,0,0,1,Urban,Cooperative (Esusu/Ajo),0,1,6,95.0,0
BRW100114,42,Male,Kwara,Electronics/Phone Accessories,1.2,51500,16,46400,16000,12,5.72,1,1,1,Urban,Cooperative (Esusu/Ajo),0,1,61,83.8,0
BRW100115,45,Male,Edo,Food & Provisions,4.3,117400,57,339200,154000,2,7.93,1,0,1,Urban,Bank Branch,1,1,64,61.5,0
BRW100116,19,Female,Kaduna,Transport/Logistics,1.8,31200,24,61000,16000,3,5.9,1,0,1,Urban,POS Agent,0,1,29,96.5,0
BRW100117,24,Female,Rivers,Artisan/Repairs,5.1,37300,66,66500,18000,1,4.74,1,1,0,Rural,Cooperative (Esusu/Ajo),0,0,46,98.7,0
BRW100118,29,Male,Oyo,Services (Salon/Barbing etc.),2.7,43900,42,41900,46000,1,7.75,0,0,1,Urban,Mobile App,0,1,49,65.7,1
BRW100119,23,Male,Kaduna,Trading/Retail,2.9,39100,43,119000,76000,2,10.05,0,0,1,Urban,Mobile App,0,0,47,62.3,1
BRW100120,39,Male,Osun,Trading/Retail,0.6,59800,11,59500,51000,6,8.44,0,0,1,Urban,POS Agent,0,1,20,52.0,0
BRW100121,50,Male,Enugu,Food & Provisions,6.8,89300,104,132200,170000,2,5.4,1,0,1,Rural,POS Agent,1,0,27,65.3,0
BRW100122,49,Male,Ogun,Trading/Retail,5.8,104400,99,374500,161000,3,9.4,4,0,1,Rural,Mobile App,0,1,82,69.6,1
BRW100123,40,Male,Plateau,Electronics/Phone Accessories,1.7,37900,30,100400,19000,2,6.31,3,0,1,Urban,Mobile App,0,1,99,92.4,0
BRW100124,59,Male,Ogun,Artisan/Repairs,5.2,35300,77,325000,61000,9,5.03,0,0,1,Urban,Cooperative (Esusu/Ajo),1,1,31,77.8,0
BRW100125,45,Male,Kwara,Transport/Logistics,1.3,74800,21,110000,76000,1,5.93,2,0,1,Urban,POS Agent,0,1,39,53.1,1
BRW100126,21,Male,Delta,Transport/Logistics,5.3,27400,88,375900,24000,12,8.27,0,0,0,Rural,POS Agent,1,0,7,81.8,0
BRW100127,54,Female,Kaduna,Food & Provisions,4.6,70900,57,78700,112000,1,6.17,1,0,1,Urban,Cooperative (Esusu/Ajo),0,0,70,90.0,0
BRW100128,45,Male,Osun,Trading/Retail,8.5,43000,103,279000,40000,1,9.76,0,1,1,Urban,Mobile App,0,0,42,70.2,0
BRW100129,48,Male,Edo,Services (Salon/Barbing etc.),4.5,38500,65,244300,45000,3,10.61,0,1,1,Urban,Cooperative (Esusu/Ajo),0,0,26,87.4,0
BRW100130,45,Female,Osun,Food & Provisions,1.6,15000,15,52300,11000,2,3.48,0,0,0,Urban,POS Agent,1,1,64,63.6,0
BRW100131,44,Male,Lagos,Food & Provisions,3.6,56700,56,282800,106000,9,9.64,0,0,1,Urban,Bank Branch,1,0,25,54.6,0
BRW100132,22,Male,Oyo,Food & Provisions,2.6,93200,40,108900,150000,3,6.99,0,0,1,Rural,Cooperative (Esusu/Ajo),1,0,30,54.0,0
BRW100133,44,Female,Kaduna,Food & Provisions,8.2,25500,121,272700,11000,2,5.51,0,1,1,Rural,Mobile App,0,0,26,58.5,0
BRW100134,56,Female,Edo,Electronics/Phone Accessories,0.9,57300,13,75800,107000,12,10.38,0,0,1,Rural,POS Agent,1,0,41,48.9,1
BRW100135,32,Male,Kwara,Agriculture,3.5,64500,51,162100,118000,3,11.11,0,1,1,Rural,POS Agent,0,0,172,88.3,0
BRW100136,46,Female,Kano,Agriculture,1.5,36700,19,80200,76000,9,8.19,0,0,1,Rural,Mobile App,0,0,49,70.0,0
BRW100137,19,Female,Rivers,Trading/Retail,9.6,62200,161,275000,133000,6,7.65,0,0,1,Urban,POS Agent,1,1,30,84.4,0
BRW100138,34,Male,Edo,Transport/Logistics,3.8,80300,72,257800,162000,6,7.42,0,0,1,Urban,POS Agent,1,1,55,60.3,0
BRW100139,38,Male,Kaduna,Trading/Retail,4.8,54200,69,326500,67000,2,3.56,0,0,1,Rural,Bank Branch,0,0,57,67.8,0
BRW100140,65,Male,Edo,Services (Salon/Barbing etc.),2.6,66500,41,192700,128000,3,7.64,0,1,1,Urban,Cooperative (Esusu/Ajo),0,1,17,37.4,0
BRW100141,28,Female,Lagos,Artisan/Repairs,5.3,42500,68,378400,46000,9,7.37,0,1,1,Urban,Cooperative (Esusu/Ajo),1,0,14,39.8,0
BRW100142,31,Male,Enugu,Artisan/Repairs,1.6,76600,19,105400,160000,1,7.81,0,0,1,Urban,POS Agent,0,1,32,50.0,1
BRW100143,37,Male,Lagos,Food & Provisions,1.7,19100,15,75000,15000,3,9.44,4,0,1,Urban,Cooperative (Esusu/Ajo),1,0,53,31.1,0
BRW100144,65,Male,Osun,Food & Provisions,8.1,74900,112,198600,26000,2,5.1,1,1,1,Rural,POS Agent,1,0,70,73.8,0
BRW100145,58,Female,Rivers,Electronics/Phone Accessories,14.2,96500,192,437400,167000,12,7.78,0,0,1,Urban,Mobile App,1,1,9,86.5,0
BRW100146,19,Male,Rivers,Services (Salon/Barbing etc.),0.6,32400,7,34100,46000,3,10.4,0,1,1,Urban,Cooperative (Esusu/Ajo),0,0,72,66.7,0
BRW100147,29,Male,Kano,Agriculture,2.1,32000,24,30800,54000,6,9.21,0,0,1,Urban,POS Agent,0,1,37,59.7,0
BRW100148,57,Male,Oyo,Fashion & Tailoring,6.6,119400,99,148300,49000,1,9.36,1,0,1,Urban,Bank Branch,0,1,26,40.9,0
BRW100149,20,Female,Anambra,Agriculture,4.6,60600,67,208200,147000,12,7.27,1,1,1,Urban,POS Agent,0,1,28,54.3,0
BRW100150,59,Male,Delta,Food & Provisions,1.8,21200,23,97200,42000,6,9.25,1,0,1,Rural,Bank Branch,0,1,53,65.1,1
BRW100151,31,Female,Plateau,Artisan/Repairs,2.5,43500,38,151400,37000,1,11.11,0,0,0,Rural,POS Agent,1,0,71,80.4,0
BRW100152,62,Male,Plateau,Agriculture,1.9,19000,25,40600,10000,2,11.42,2,1,1,Rural,POS Agent,0,1,106,76.4,0
BRW100153,32,Male,Kano,Trading/Retail,5.0,43300,63,275800,27000,3,4.74,1,0,1,Urban,POS Agent,1,1,6,85.1,0
BRW100154,38,Male,Ogun,Food & Provisions,1.8,48300,32,117100,118000,6,4.47,0,1,0,Urban,Mobile App,1,1,30,50.5,0
BRW100155,49,Male,Plateau,Transport/Logistics,2.6,68700,33,175800,123000,9,4.65,0,0,1,Urban,Mobile App,1,0,18,70.4,0
BRW100156,24,Male,Rivers,Artisan/Repairs,5.7,49800,89,210000,73000,6,4.42,2,1,1,Urban,POS Agent,0,1,64,60.2,0
BRW100157,44,Female,Edo,Trading/Retail,4.1,118000,79,133700,98000,3,9.99,0,0,1,Urban,Mobile App,0,0,26,51.5,0
BRW100158,42,Male,Ogun,Artisan/Repairs,7.2,52200,115,311300,27000,6,3.13,0,0,1,Urban,Mobile App,1,1,63,71.4,0
BRW100159,55,Female,Rivers,Agriculture,1.7,17200,30,138600,42000,1,8.31,0,0,0,Rural,POS Agent,1,0,15,70.5,1
BRW100160,65,Male,Lagos,Fashion & Tailoring,2.5,68800,36,88000,31000,1,9.35,0,0,1,Urban,POS Agent,0,1,58,87.3,0
BRW100161,49,Female,Kaduna,Transport/Logistics,1.6,52000,21,100000,111000,6,4.47,0,0,1,Rural,POS Agent,1,1,137,74.8,0
BRW100162,37,Male,Lagos,Trading/Retail,2.2,44600,27,62700,44000,6,11.06,1,1,1,Urban,POS Agent,0,0,38,58.9,0
BRW100163,37,Female,Rivers,Transport/Logistics,1.0,87600,15,51700,68000,3,3.13,2,0,1,Urban,Mobile App,1,1,58,83.0,1
BRW100164,38,Male,Enugu,Trading/Retail,0.3,77500,9,20000,50000,1,4.04,3,1,1,Urban,Cooperative (Esusu/Ajo),1,1,73,66.3,0
BRW100165,57,Female,Kwara,Agriculture,0.9,30500,12,21700,67000,2,7.81,1,0,1,Urban,Cooperative (Esusu/Ajo),0,1,47,46.3,1
BRW100166,33,Female,Enugu,Transport/Logistics,5.8,56900,102,210900,53000,6,7.98,0,0,0,Urban,Cooperative (Esusu/Ajo),1,1,19,50.6,0
BRW100167,26,Female,Abuja (FCT),Fashion & Tailoring,0.9,113100,14,79000,79000,6,9.25,1,0,0,Urban,Cooperative (Esusu/Ajo),0,1,57,76.6,0
BRW100168,34,Female,Kano,Food & Provisions,4.4,51200,71,414200,81000,3,10.54,0,1,0,Urban,Bank Branch,0,1,8,92.2,0
BRW100169,19,Male,Kaduna,Fashion & Tailoring,2.3,24100,42,163400,39000,6,11.21,1,0,1,Urban,POS Agent,0,1,52,76.4,0
BRW100170,23,Male,Edo,Transport/Logistics,2.6,61000,30,50100,66000,1,11.95,1,0,1,Rural,Mobile App,0,0,31,91.4,1
BRW100171,22,Male,Lagos,Agriculture,1.0,41300,19,25900,55000,2,5.71,3,0,0,Urban,Mobile App,0,1,38,56.2,0
BRW100172,55,Female,Delta,Agriculture,2.0,49900,31,78400,50000,3,8.8,1,0,1,Rural,Mobile App,1,0,29,54.6,0
BRW100173,52,Male,Rivers,Electronics/Phone Accessories,3.8,28900,53,291500,64000,6,4.19,0,0,0,Urban,Cooperative (Esusu/Ajo),0,1,20,74.9,0
BRW100174,51,Male,Ogun,Fashion & Tailoring,0.9,59000,8,13200,95000,1,9.43,2,0,1,Urban,POS Agent,0,0,68,61.5,1
BRW100175,40,Female,Delta,Artisan/Repairs,1.9,35600,26,77400,64000,1,8.09,0,0,0,Urban,Mobile App,0,1,24,61.7,1
BRW100176,52,Male,Osun,Trading/Retail,3.4,76400,57,185700,123000,2,4.16,0,0,1,Urban,Cooperative (Esusu/Ajo),1,1,24,59.6,0
BRW100177,25,Female,Kano,Trading/Retail,4.5,103000,62,334100,206000,1,8.09,0,0,1,Urban,Mobile App,0,0,43,81.7,1
